,Concurso,Jogo 1,Jogo 2,Jogo 3,Jogo 4,Jogo 5,Jogo 6,Jogo 7,Jogo 8,Jogo 9,Jogo 10,Jogo 11,Jogo 12,Jogo 13,Jogo 14,Ganhadores 14 Acertos,Cidade / UF, Rateio 14 Acertos,Ganhadores 13 Acertos,Rateio 13 Acertos,Acumulado 14 Acertos,Arrecadacao Total,Estimativa Prêmio,Observação
240,241,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 2,2,"GO; 
RS","R$412.823,54",145,"R$455,47",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 04/12/2006: R$200.000,00."
241,242,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,1,PR,"R$152.385,48",24,"R$1.360,59",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso: R$150.000,00. Apuração prevista para 11/12/2006 (segunda-feira) às 12 horas."
242,243,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,0,,"R$0,00",9,"R$2.864,91",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (14 acertos) para o próximo concurso: R$300.000,00. Apuração prevista para 18/12/2006 (segunda-feira) às 12 horas."
243,244,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna 2,2,"PR; 
SC","R$138.147,24",27,"R$1.237,84",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 26/12/2006: R$400.000,00."
244,245,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,9,"GO; 
RJ; 
RR; 
RS; 
SC; 
SP","R$38.363,06",202,"R$142,75",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso: R$200.000,00. Apuração prevista para 08/01/2007 (segunda-feira) às 12 horas."
245,246,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,5,"DF; 
RJ; 
SP","R$21.469,08",220,"R$104,17",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 15/01/2007: R$150.000,00."
246,247,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,0,,"R$0,00",1,"R$26.161,59",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 22/01/2007: R$300.000,00."
247,248,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,1,MS,"R$321.451,01",40,"R$1.068,02",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 29/01/2007: R$250.000,00."
248,249,Coluna 2,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,1,RJ,"R$179.874,14",45,"R$856,55",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 05/02/2007: R$400.000,00."
249,250,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,7,"MG; 
PI; 
SE; 
SP","R$56.084,53",132,"R$377,17",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 12/02/2007: R$200.000,00."
250,251,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 2,Coluna 2,0,,"R$0,00",11,"R$3.405,83",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 21/02/2007: R$500.000,00."
251,252,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,0,,"R$0,00",2,"R$27.021,17",Sim,"R$0,00","R$0,00","A C U M U L O U ! ! Estimativa de prêmio (14 acertos) para o próximo concurso,a ser apurado em 26/02/2007: R$700.000,00. O jogo 06 deste concurso foi adiado para 22/02 e foi para sorteio no dia 17/02, no Caminhão da Sorte, em Porto Seguro/BA."
252,253,Coluna do meio,Coluna 2,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,26,"CE; 
DF; 
ES; 
MA; 
MG; 
PE; 
PR; 
RJ; 
RS; 
SC; 
SP; 
TO","R$27.536,23",599,"R$102,97",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 05/03/2007 (segunda-feira): R$250.000,00."
253,254,Coluna 2,Coluna 2,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,19,"DF; 
ES; 
MG; 
MS; 
PR; 
RS; 
SE; 
SP","R$10.418,71",639,"R$66,14",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 12/03/2007: R$600.000,00."
254,255,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,12,"BA; 
DF; 
MG; 
RJ; 
SC; 
SP","R$42.441,90",395,"R$142,40",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o póximo concurso, a ser apurado em 19/03/2007: R$250.000,00."
255,256,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,7792,"AC; 
AL; 
AM; 
AP; 
BA; 
CE; 
DF; 
ES; 
GO; 
MA; 
MG; 
MS; 
MT; 
PA; 
PB; 
PE; 
PI; 
PR; 
RJ; 
RN; 
RO; 
RR; 
RS; 
SC; 
SE; 
SP; 
TO","R$32,67",68348,"R$0,80",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 26/03/2007: R$250.000,00."
256,257,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,5,"MG; 
SC; 
SP","R$43.090,32",140,"R$328,52",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso: R$250.000,00. Apuração prevista para 02/04/2007 (segunda-feira) às 12 horas."
257,258,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,0,,"R$0,00",4,"R$10.802,66",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 09/04/2007: R$500.000,00."
258,259,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,135,"AL; 
AM; 
BA; 
CE; 
DF; 
ES; 
GO; 
MG; 
MS; 
MT; 
PA; 
PB; 
PE; 
PR; 
RJ; 
RN; 
RO; 
RS; 
SC; 
SP","R$3.166,60",2278,"R$21,16",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 16/04/2007, segunda-feira, às 12 horas: R$500.000,00. O jogo 5 foi antecipado para 05/04/2007, em razão disso foi sorteado no Caminhão da Sorte em 07/04/2007, na cidade de Ibiraci/MG, o resultado do sorteio foi coluna um no jogo 5."
259,260,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,1,SP,"R$435.684,48",26,"R$1.538,70",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 23/04/2007: R$250.000,00. O jogo 4, Gama/DF X Ceilândia/DF, foi antecipado para 13/04/2007, por esse motivo foi para sorteio em 14/04/2007, às 19 horas, no Caminhão da Sorte, em Londrina/PR, o resultado foi coluna do meio."
260,261,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,1,BA,"R$146.629,07",2,"R$15.710,26",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos) para o próximo concurso a ser apurado em 30/04/2007: R$200.000,00."
261,262,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 2,0,,"R$0,00",33,"R$755,02",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 07/05/2007: R$300.000,00."
262,263,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,0,,"R$0,00",6,"R$5.649,17",Sim,"R$0,00","R$0,00","ACUMULOU!!! Estimativa de prêmio (14 acertos) para o próximo concurso, a ser apurado em 14/05/2007: R$600.000,00."
263,264,Coluna 2,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,4,"DF; 
MG; 
PR; 
RJ","R$122.966,23",65,"R$712,59",Não,"R$0,00","R$400.000,00","Estimativa de prêmio (14 ACERTOS) para o próximo concurso a ser apurado em 21/05/2007: R$400.000,00."
264,265,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,1,SP,"R$391.743,17",46,"R$1.001,17",Não,"R$0,00","R$200.000,00",
265,266,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,0,,"R$0,00",4,"R$10.300,97",Sim,"R$0,00","R$450.000,00",
266,267,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,0,,"R$0,00",5,"R$10.253,14",Sim,"R$0,00","R$800.000,00",
267,268,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna 1,0,,"R$0,00",14,"R$4.537,23",Sim,"R$0,00","R$1.100.000,00",
268,269,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna do meio,0,,"R$0,00",24,"R$3.726,22",Sim,"R$0,00","R$2.000.000,00",
269,270,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,0,,"R$0,00",9,"R$12.694,38",Sim,"R$0,00","R$2.700.000,00",
270,271,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,11,"DF; 
ES; 
MG; 
MS; 
MT; 
PR; 
RJ; 
SP","R$235.231,07",306,"R$430,86",Não,"R$0,00","R$250.000,00",
271,272,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,1,SP,"R$248.656,45",39,"R$1.366,24",Não,"R$0,00","R$250.000,00",
272,273,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 1,3,"PR; 
RS; 
SP","R$70.816,23",92,"R$492,95",Não,"R$0,00","R$250.000,00",
273,274,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,0,,"R$0,00",18,"R$2.643,49",Sim,"R$0,00","R$1.000.000,00",
274,275,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,Coluna 2,0,,"R$0,00",2,"R$36.814,63",Sim,"R$0,00","R$1.400.000,00",Ganhadores de 13 acertos: SP(02)
275,276,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,50,"BA; 
CE; 
DF; 
GO; 
MG; 
MS; 
MT; 
PA; 
PB; 
PI; 
PR; 
RJ; 
RS; 
SC; 
SP","R$28.152,20",1114,"R$86,04",Não,"R$0,00","R$250.000,00",
276,277,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,4,"MG; 
RJ; 
RS","R$64.694,08",77,"R$717,43",Não,"R$0,00","R$250.000,00",Ganhadores de 14 acertos: Belo Horizonte/MG - Rio de Janeiro/RJ (02) - Canoas/RS.
277,278,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,6,"AC; 
DF; 
MG; 
RJ; 
SP","R$49.375,91",194,"R$325,99",Não,"R$0,00","R$250.000,00","Ganhadores de 14 acertos: Rio Branco/AC, Brasília/DF, Governador Valadares/MG, Niterói/RJ, Macaé/RJ e Osasco/SP."
278,279,Coluna do meio,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,79,"AL; 
AM; 
BA; 
DF; 
GO; 
MA; 
MG; 
MS; 
PA; 
PB; 
PE; 
PI; 
PR; 
RJ; 
RN; 
RS; 
SC; 
SE; 
SP","R$3.059,27",1598,"R$32,29",Não,"R$0,00","R$700.000,00",
279,280,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,3,"ES; 
MS; 
SP","R$220.401,10",97,"R$705,65",Não,"R$0,00","R$250.000,00","Ganhadores de 14 acertos: Cariacica/ES, Campo Grande/MS e São Paulo/SP."
280,281,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,23,"BA; 
CE; 
GO; 
MG; 
PE; 
PI; 
RJ; 
RN; 
RS; 
SP","R$10.350,50",644,"R$78,92",Não,"R$0,00","R$250.000,00",
281,282,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,2,SP,"R$124.946,43",43,"R$1.245,31",Não,"R$0,00","R$250.000,00",
282,283,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,1,PR,"R$246.073,94",81,"R$648,52",Não,"R$0,00","R$250.000,00",GANHADOR DE 14 ACERTOS: CURITIBA/PR.
283,284,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,0,,"R$0,00",0,"R$0,00",Sim,"R$0,00","R$1.000.000,00",
284,285,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,3,"PA; 
SP","R$352.510,41",111,"R$810,85",Não,"R$0,00","R$250.000,00",
285,286,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 2,Coluna do meio,Coluna do meio,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna 2,0,,"R$0,00",1,"R$46.854,99",Sim,"R$0,00","R$500.000,00",Ganhador de 13 acertos: Curitiba/PR.
286,287,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,190,"AC; 
AM; 
BA; 
CE; 
DF; 
ES; 
GO; 
MA; 
MG; 
MS; 
MT; 
PA; 
PB; 
PI; 
PR; 
RJ; 
RO; 
RS; 
SC; 
SE; 
SP; 
TO","R$2.855,51",3071,"R$22,52",Não,"R$0,00","R$250.000,00",
287,288,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,0,,"R$0,00",30,"R$1.804,04",Sim,"R$0,00","R$600.000,00",
288,289,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,0,,"R$0,00",1,"R$62.451,39",Sim,"R$0,00","R$1.400.000,00",GANHADOR DE 13 ACERTOS: BELO JARDIM/PE.
289,290,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,2,"MS; 
RN","R$661.932,80",84,"R$1.165,88",Não,"R$0,00","R$250.000,00",Ganhadores: Natal/RN - Corumbá/MS.
290,291,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,0,,"R$0,00",8,"R$5.065,09",Sim,"R$0,00","R$400.000,00",
291,292,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,1,SP,"R$471.910,93",64,"R$946,92",Não,"R$0,00","R$250.000,00",
292,293,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,0,,"R$0,00",0,"R$0,00",Sim,"R$0,00","R$500.000,00","1ª FAIXA (14 ACERTOS) ACUMULOU !!! 2ª FAIXA (13 ACERTOS): 09 GANHADORES COM R$ 5.215,20 CADA UM."
293,294,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,904,"AC; 
AL; 
AM; 
AP; 
BA; 
CE; 
DF; 
ES; 
GO; 
MA; 
MG; 
MS; 
MT; 
PA; 
PB; 
PE; 
PI; 
PR; 
RJ; 
RN; 
RO; 
RR; 
RS; 
SC; 
SE; 
SP; 
TO","R$417,16",12977,"R$2,61",Não,"R$0,00","R$500.000,00",GANHADORES DE 14 ACERTOS EM TODOS OS ESTADOS DA FEDERAÇÃO.
294,295,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna do meio,Coluna 2,0,,"R$0,00",90,"R$362,71",Sim,"R$0,00","R$600.000,00",
295,296,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 2,2,"MG; 
PA","R$342.779,04",57,"R$952,46",Não,"R$0,00","R$200.000,00",GANHADORES DE 14 ACERTOS: BELO HORIZONTE/MG  e BELÉM/PA.
296,297,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,0,,"R$0,00",18,"R$2.839,46",Sim,"R$0,00","R$600.000,00",A APURAÇÃO DO CONCURSO 298 SERÁ REALIZADA EM 06/02/2008 ÀS 16:00 HS.
297,298,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,0,,"R$0,00",8,"R$8.414,22",Sim,"R$0,00","R$900.000,00",
298,299,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,3,"RS; 
SP","R$295.147,15",121,"R$589,37",Não,"R$0,00","R$500.000,00","Ganhadores de 14 acertos: Caxias do Sul/RS, São Roque/SP e Altinópolis/SP."
299,300,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 2,0,,"R$0,00",40,"R$1.592,70",Sim,"R$0,00","R$900.000,00",
300,301,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,14,"BA; 
ES; 
MS; 
MT; 
PA; 
PE; 
PI; 
PR; 
RJ; 
SP","R$70.113,95",473,"R$184,66",Não,"R$0,00","R$250.000,00",
301,302,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,804,"AL; 
AM; 
BA; 
CE; 
DF; 
ES; 
GO; 
MA; 
MG; 
MS; 
MT; 
PA; 
PB; 
PE; 
PI; 
PR; 
RJ; 
RN; 
RO; 
RR; 
RS; 
SC; 
SE; 
SP; 
TO","R$394,46",16681,"R$4,08",Não,"R$0,00","R$270.000,00",
302,303,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,1853,"AC; 
AL; 
AM; 
AP; 
BA; 
CE; 
DF; 
ES; 
GO; 
MA; 
MG; 
MS; 
MT; 
PA; 
PB; 
PE; 
PI; 
PR; 
RJ; 
RN; 
RO; 
RR; 
RS; 
SC; 
SE; 
SP; 
TO","R$148,82",32747,"R$1,80",Não,"R$0,00","R$250.000,00",
303,304,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,0,,"R$0,00",16,"R$3.064,18",Sim,"R$0,00","R$900.000,00",
304,305,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,219,"AC; 
AL; 
BA; 
CE; 
DF; 
ES; 
GO; 
MA; 
MG; 
MS; 
MT; 
PA; 
PB; 
PE; 
PI; 
PR; 
RJ; 
RS; 
SC; 
SE; 
SP; 
TO","R$4.077,18",3686,"R$19,59",Não,"R$0,00","R$250.000,00",
305,306,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,0,,"R$0,00",23,"R$2.359,63",Sim,"R$0,00","R$500.000,00",
306,307,Coluna do meio,Coluna do meio,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna 1,0,,"R$0,00",8,"R$7.676,03",Sim,"R$0,00","R$850.000,00","DEVIDO A ANTECIPAÇÃO DA PARTIDA ENTRE VILA NOVA/GO x CRAC/GO, PARA O DIA 02/04/2008, O RESULTADO DO JOGO 5 DA LOTECA FOI OBTIDO POR SORTEIO NO CAMINHÃO DA SORTE EM JACAREÍ/SP, DIA 05/04/2008."
307,308,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,2,"BA; 
RJ","R$450.197,98",149,"R$518,54",Não,"R$0,00","R$250.000,00",Ganhadores de 14 acertos: Rio de Janeiro/RJ e Serrinha/BA.
